100	2145
10	77	
78	64	
61	16	
86	104	
27	117	
81	99	
32	46	
81	86	
9	60	
43	94	
15	44	
21	25	
49	70	
78	121	
78	81	
36	19	
60	131	
9	20	
21	41	
77	117	
66	63	
48	121	
68	79	
44	21	
24	22	
8	25	
70	96	
77	52	
9	79	
39	94	
67	37	
7	102	
51	13	
48	86	
42	56	
15	54	
5	61	
82	81	
65	85	
74	100	
49	78	
88	39	
60	28	
76	42	
64	79	
59	60	
90	44	
47	50	
36	20	
5	53	
45	63	
49	129	
38	59	
79	82	
5	13	
12	121	
27	90	
87	106	
28	50	
71	59	
34	36	
16	103	
24	20	
73	106	
65	133	
71	32	
16	31	
43	123	
47	82	
60	40	
51	25	
28	58	
35	132	
22	127	
6	107	
26	46	
6	103	
91	61	
77	36	
71	80	
78	128	
26	66	
19	91	
8	56	
56	64	
60	20	
59	24	
43	104	
54	99	
71	24	
32	25	
77	52	
86	125	
87	30	
86	107	
91	55	
10	33	
85	26	
51	82	
21	64	
